Date,SnP_Close,SnP_Volume
"Mar 17, 2021","3,974.12","4,561,660,000"
"Mar 16, 2021","3,962.71","4,613,080,000"
"Mar 15, 2021","3,968.94","4,900,100,000"
"Mar 12, 2021","3,943.34","4,476,280,000"
"Mar 11, 2021","3,939.34","5,312,880,000"
"Mar 10, 2021","3,898.81","5,847,380,000"
"Mar 09, 2021","3,875.44","5,513,560,000"
"Mar 08, 2021","3,821.35","5,871,710,000"
"Mar 05, 2021","3,841.94","6,851,070,000"
"Mar 04, 2021","3,768.47","7,195,400,000"
"Mar 03, 2021","3,819.72","6,173,660,000"
"Mar 02, 2021","3,870.29","5,536,010,000"
"Mar 01, 2021","3,901.82","5,114,820,000"
"Feb 26, 2021","3,811.15","6,526,070,000"
"Feb 25, 2021","3,829.34","6,547,470,000"
"Feb 24, 2021","3,925.43","6,012,790,000"
"Feb 23, 2021","3,881.37","6,296,610,000"
"Feb 22, 2021","3,876.50","5,917,100,000"
"Feb 19, 2021","3,906.71","4,845,320,000"
"Feb 18, 2021","3,913.97","4,793,650,000"
"Feb 17, 2021","3,931.33","4,730,650,000"
"Feb 16, 2021","3,932.59","5,058,990,000"
"Feb 12, 2021","3,934.83","4,135,060,000"
"Feb 11, 2021","3,916.38","4,590,960,000"
"Feb 10, 2021","3,909.88","4,837,070,000"
"Feb 09, 2021","3,911.23","4,568,320,000"
"Feb 08, 2021","3,915.59","4,648,360,000"
"Feb 05, 2021","3,886.83","4,879,470,000"
"Feb 04, 2021","3,871.74","4,879,240,000"
"Feb 03, 2021","3,830.17","4,864,870,000"
"Feb 02, 2021","3,826.31","5,514,090,000"
"Feb 01, 2021","3,773.86","5,436,230,000"
"Jan 29, 2021","3,714.24","6,643,370,000"
"Jan 28, 2021","3,787.38","6,992,770,000"
"Jan 27, 2021","3,750.77","9,976,520,000"
"Jan 26, 2021","3,849.62","6,137,500,000"
"Jan 25, 2021","3,855.36","7,000,840,000"
"Jan 22, 2021","3,841.47","5,110,890,000"
"Jan 21, 2021","3,853.07","4,501,760,000"
"Jan 20, 2021","3,851.85","4,566,190,000"
"Jan 19, 2021","3,798.91","5,014,440,000"
"Jan 15, 2021","3,768.25","5,369,820,000"
"Jan 14, 2021","3,795.54","5,198,480,000"
"Jan 13, 2021","3,809.84","4,602,510,000"
"Jan 12, 2021","3,801.19","4,994,950,000"
"Jan 11, 2021","3,799.61","4,465,430,000"
"Jan 08, 2021","3,824.68","4,773,040,000"
"Jan 07, 2021","3,803.79","5,099,160,000"
"Jan 06, 2021","3,748.14","6,064,110,000"
"Jan 05, 2021","3,726.86","4,591,020,000"
"Jan 04, 2021","3,700.65","5,015,000,000"
"Dec 31, 2020","3,756.07","3,179,040,000"
"Dec 30, 2020","3,732.04","3,154,850,000"
"Dec 29, 2020","3,727.04","3,393,290,000"
"Dec 28, 2020","3,735.36","3,535,460,000"
"Dec 24, 2020","3,703.06","1,883,780,000"
"Dec 23, 2020","3,690.01","3,779,160,000"
"Dec 22, 2020","3,687.26","4,053,310,000"
"Dec 21, 2020","3,694.92","4,748,580,000"
"Dec 18, 2020","3,709.41","7,097,100,000"
"Dec 17, 2020","3,722.48","4,192,810,000"
"Dec 16, 2020","3,701.17","4,067,040,000"
"Dec 15, 2020","3,694.62","4,387,080,000"
"Dec 14, 2020","3,647.49","4,623,850,000"
"Dec 11, 2020","3,663.46","4,375,470,000"
"Dec 10, 2020","3,668.10","4,658,480,000"
"Dec 09, 2020","3,672.82","5,232,800,000"
"Dec 08, 2020","3,702.25","4,584,390,000"
"Dec 07, 2020","3,691.96","4,804,500,000"
"Dec 04, 2020","3,699.12","5,099,620,000"
"Dec 03, 2020","3,666.72","5,065,340,000"
"Dec 02, 2020","3,669.01","5,041,250,000"
"Dec 01, 2020","3,662.45","5,418,480,000"
"Nov 30, 2020","3,621.63","6,308,410,000"
"Nov 27, 2020","3,638.35","2,778,390,000"
"Nov 25, 2020","3,629.65","4,910,440,000"
"Nov 24, 2020","3,635.41","6,280,290,000"
"Nov 23, 2020","3,577.59","5,057,550,000"
"Nov 20, 2020","3,557.54","4,236,370,000"
"Nov 19, 2020","3,581.87","4,363,370,000"
"Nov 18, 2020","3,567.79","5,284,810,000"
