Date,SnP_Close,SnP_Volume,VIX,formatted_date,3MTbill,wti
7/6/2021,4343.54,4309570000,16.44,20210706,0.05,73.62
7/7/2021,4358.13,4037380000,16.2,20210707,0.05,72.22
7/8/2021,4320.82,4347500000,19,20210708,0.06,72.98
7/9/2021,4369.55,3531120000,16.18,20210709,0.06,74.56
7/12/2021,4384.63,3384460000,16.17,20210712,0.05,74.21
13/7/2021,4369.21,3695430000,17.12,20210713,0.05,75.24
14/7/2021,4374.3,4006370000,16.33,20210714,0.06,73.06
15/7/2021,4360.03,3905230000,17.01,20210715,0.05,71.67
16/7/2021,4327.16,3985700000,18.45,20210716,0.05,71.76
19/7/2021,4258.49,5157660000,22.5,20210719,0.05,66.45
20/7/2021,4323.06,4438270000,19.73,20210720,0.05,67.32
21/7/2021,4358.69,3810280000,17.91,20210721,0.05,70.26
22/7/2021,4367.48,3358300000,17.69,20210722,0.05,72.15
23/7/2021,4411.79,4540070000,17.2,20210723,0.05,72.24
26/7/2021,4422.3,4275630000,17.58,20210726,0.05,72.15
27/7/2021,4401.46,4241950000,19.36,20210727,0.05,71.68
28/7/2021,4400.64,4215290000,18.31,20210728,0.05,72.37
29/7/2021,4419.15,4044600000,17.7,20210729,0.06,73.62
30/7/2021,4395.26,3956740000,18.24,20210730,0.06,73.93
8/2/2021,4387.16,3724090000,19.46,20210802,0.05,71.31
8/3/2021,4423.15,3965190000,18.04,20210803,0.05,70.64
8/4/2021,4402.66,4260760000,17.97,20210804,0.05,68.19
8/5/2021,4429.1,3769410000,17.28,20210805,0.05,69.1
8/6/2021,4436.52,3451870000,16.15,20210806,0.06,68.26
8/9/2021,4432.35,3449280000,16.72,20210809,0.06,66.56
8/10/2021,4436.75,3886610000,16.79,20210810,0.05,68.33
8/11/2021,4442.41,3532560000,16.17,20210811,0.05,69.3
8/12/2021,4460.83,3375310000,15.59,20210812,0.06,69.12
13/8/2021,4468,3016470000,15.45,20210813,0.06,68.36
16/8/2021,4479.71,3370640000,16.12,20210816,0.06,67.44
17/8/2021,4448.08,3836960000,17.91,20210817,0.07,66.5
18/8/2021,4400.27,3755590000,21.57,20210818,0.07,65.36
19/8/2021,4405.8,4398410000,21.67,20210819,0.06,63.69
20/8/2021,4441.67,3652610000,18.56,20210820,0.05,62.25
23/8/2021,4479.53,3576530000,17.15,20210823,0.05,65.65
24/8/2021,4486.23,3979220000,17.22,20210824,0.05,67.5
25/8/2021,4496.19,3444700000,16.79,20210825,0.06,68.54
