Date,SnP_Close,SnP_Volume,VIX,formatted_date
08-10-2021,4436.75,3886610000,16.79,20210810
08-11-2021,4442.41,3532560000,16.17,20210811
08-12-2021,4460.83,3375310000,15.59,20210812
13-8-2021,4468,3016470000,15.45,20210813
16-8-2021,4479.71,3370640000,16.12,20210816
17-8-2021,4448.08,3836960000,17.91,20210817
18-8-2021,4400.27,3755590000,21.57,20210818
19-8-2021,4405.8,4398410000,21.67,20210819
20-8-2021,4441.67,3652610000,18.56,20210820
23-8-2021,4479.53,3576530000,17.15,20210823
24-8-2021,4486.23,3979220000,17.22,20210824
25-8-2021,4496.19,3444700000,16.79,20210825
26-8-2021,4470,3263980000,18.84,20210826
27-8-2021,4509.37,3331200000,16.39,20210827
30-8-2021,4528.79,3168660000,16.19,20210830
31-8-2021,4522.68,4290710000,16.48,20210831
09-01-2021,4524.09,4057340000,16.11,20210901
09-02-2021,4536.95,3735990000,16.41,20210902
09-03-2021,4535.43,3217530000,16.41,20210903
09-07-2021,4520.03,3822960000,18.14,20210907
09-08-2021,4514.07,3750880000,17.96,20210908
09-09-2021,4493.28,3735390000,18.8,20210909
09-10-2021,4458.58,3623180000,20.95,20210910
13-9-2021,4468.73,3914220000,19.37,20210913
14-9-2021,4443.05,3670460000,19.46,20210914
15-9-2021,4480.7,4032020000,18.18,20210915
16-9-2021,4473.75,3984560000,18.69,20210916
17-9-2021,4432.99,7289530000,20.81,20210917
20-9-2021,4357.73,4898070000,25.71,20210920
21-9-2021,4354.19,3920920000,24.36,20210921
22-9-2021,4395.64,3939170000,20.87,20210922
23-9-2021,4448.98,3916350000,18.63,20210923
24-9-2021,4455.48,3384290000,17.75,20210924
27-9-2021,4443.11,4058650000,18.76,20210927
28-9-2021,4352.63,4416550000,23.25,20210928
29-9-2021,4359.46,3712660000,22.56,20210929
30-9-2021,4307.54,4448140000,23.14,20210930
10-01-2021,4357.04,4010370000,21.1,20211001
10-04-2021,4300.46,4307870000,22.96,20211004
10-05-2021,4345.72,3902890000,21.3,20211005
10-06-2021,4363.55,4009630000,21,20211006
10-07-2021,4399.76,3843740000,19.54,20211007
10-08-2021,4391.34,3280160000,18.77,20211008
10-11-2021,4361.19,3281970000,20,20211011
10-12-2021,4350.65,3558450000,19.85,20211012
13-10-2021,4363.8,3620070000,18.64,20211013
14-10-2021,4438.26,3598280000,16.86,20211014
